,City,Id,country,lat,lng,Cloudiness,humidity,temperature,wind_speed
528,Ostrovnoy,556268,RU,68.0531,39.5131,23,80,36.61,7.29
529,Taltal,3870243,CL,-25.4,-70.4833,15,78,60.57,2.21
530,Isla Mujeres,3526756,MX,21.2311,-86.731,30,75,83.68,7.87
531,Gayéri,2360541,BF,12.6497,0.4931,3,71,78.8,4.74
532,Oudtshoorn,967106,ZA,-33.5907,22.2014,2,90,55.76,1.57
533,Cam Ranh,1586350,VN,11.9214,109.1591,40,94,75.16,3.44
534,Coquimbo,3893629,CL,-29.9533,-71.3436,20,72,58.73,11.5
535,Oussouye,2246901,SN,12.485,-16.5469,100,85,77.09,1.97
536,Ticuantepe,3616064,NI,12.0226,-86.2049,40,66,83.08,11.5
537,Kamenka,553766,RU,51.3223,42.7678,100,76,48.42,19.22
538,Gijang,1842966,KR,35.2442,129.2139,33,74,67.73,11.48
539,Ternate,1624041,ID,0.8,127.4,84,79,80.24,1.3
540,Ji’an,1806445,CN,27.1172,114.9793,28,84,77.58,2.06
541,Shīeli,1524801,KZ,44.1667,66.75,0,25,54.36,15.05
542,Sinnamary,3380290,GF,5.3833,-52.95,83,80,80.4,10.87
543,Kuminskiy,1501429,RU,58.6667,66.5667,100,97,35.02,10.67
544,Seka,1606343,TH,17.9285,103.9552,100,91,74.79,2.13
545,Montepuez,1037125,MZ,-13.1256,38.9997,2,52,66.18,7.54
546,Magaria,2441482,NE,12.9983,8.9099,31,51,83.86,9.46
547,Jojoima,2408399,SL,7.8792,-10.7878,87,98,71.73,2.21
548,Medina,109223,SA,24.4686,39.6142,20,13,95.43,6.91
549,Nhulunbuy,2064735,AU,-12.2333,136.7667,90,65,81.21,12.66
550,Ancud,3899695,CL,-41.8697,-73.8203,33,85,49.53,7.27
551,Dabakala,2290609,CI,8.3667,-4.4333,42,95,73.36,3.98
552,Ayan,2027316,RU,56.45,138.1667,1,50,45.97,14.88
553,Kholtoson,2022369,RU,50.2981,103.3097,4,91,45.09,2.08
554,San Andrés,3670218,CO,12.5847,-81.7006,75,74,86.02,10.36
